province,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
ADANA,2025,ADANA,169,,,,,,,,,,,,,,,,,
ADANA,2024,ADANA,169,,,,,,,,,,,,,,,,,
ADANA,2023,ADANA,163,,,,,,,,,,,,,,,,,
ADANA,2022,ADANA,163,,,,,,,,,,,,,,,,,
ADANA,2021,ADANA,162,,,,,,,,,,,,,,,,,
ADANA,2020,ADANA,162,,,,,,,,,,,,,,,,,
ADANA,2019,ADANA,160,,,,,,,,,,,,,,,,,
ADANA,2018,ADANA,159,,,,,,,,,,,,,,,,,
ADANA,2017,ADANA,159,,,,,,,,,,,,,,,,,
ADANA,2016,ADANA,158,,,,,,,,,,,,,,,,,
ADANA,2015,ADANA,156,,,,,,,,,,,,,,,,,
ADANA,2014,ADANA,155,,,,,,,,,,,,,,,,,
ADANA,2013,ADANA,154,,,,,,,,,,,,,,,,,
ADANA,2012,ADANA,152,,,,,,,,,,,,,,,,,
ADANA,2011,ADANA,151,,,,,,,,,,,,,,,,,
ADANA,2010,ADANA,149,,,,,,,,,,,,,,,,,
ADANA,2009,ADANA,148,,,,,,,,,,,,,,,,,
ADANA,2008,ADANA,145,,,,,,,,,,,,,,,,,
ADANA,2007,ADANA,144,,,,,,,,,,,,,,,,,
ADANA,2000,ADANA,133,,,,,,,,,,,,,,,,,
ADANA,1990,ADANA,112,,,,,,,,,,,,,,,,,
ADANA,1985,ADANA,100,,,,,,,,,,,,,,,,,
ADANA,1980,ADANA,86,,,,,,,,,,,,,,,,,
ADANA,1975,ADANA,72,,,,,,,,,,,,,,,,,
ADANA,1970,ADANA,60,,,,,,,,,,,,,,,,,
ADANA,1965,ADANA,52,,,,,,,,,,,,,,,,,
ADANA,1960,ADANA,44,,,,,,,,,,,,,,,,,
ADANA,1955,ADANA,35,,,,,,,,,,,,,,,,,
ADANA,1950,ADANA,29,,,,,,,,,,,,,,,,,
ADANA,1945,ADANA,24,,,,,,,,,,,,,,,,,
ADANA,1940,ADANA,19,,,,,,,,,,,,,,,,,
ADANA,1935,ADANA,19,,,,,,,,,,,,,,,,,
ADIYAMAN,2025,ADIYAMAN,82,,,,,,,,,,,,,,,,,
ADIYAMAN,2024,ADIYAMAN,81,,,,,,,,,,,,,,,,,
ADIYAMAN,2023,ADIYAMAN,86,,,,,,,,,,,,,,,,,
ADIYAMAN,2022,ADIYAMAN,90,,,,,,,,,,,,,,,,,
ADIYAMAN,2021,ADIYAMAN,89,,,,,,,,,,,,,,,,,
ADIYAMAN,2020,ADIYAMAN,89,,,,,,,,,,,,,,,,,
ADIYAMAN,2019,ADIYAMAN,89,,,,,,,,,,,,,,,,,
ADIYAMAN,2018,ADIYAMAN,88,,,,,,,,,,,,,,,,,
ADIYAMAN,2017,ADIYAMAN,87,,,,,,,,,,,,,,,,,
ADIYAMAN,2016,ADIYAMAN,86,,,,,,,,,,,,,,,,,
ADIYAMAN,2015,ADIYAMAN,85,,,,,,,,,,,,,,,,,
ADIYAMAN,2014,ADIYAMAN,85,,,,,,,,,,,,,,,,,
ADIYAMAN,2013,ADIYAMAN,84,,,,,,,,,,,,,,,,,
ADIYAMAN,2012,ADIYAMAN,84,,,,,,,,,,,,,,,,,
ADIYAMAN,2011,ADIYAMAN,84,,,,,,,,,,,,,,,,,
ADIYAMAN,2010,ADIYAMAN,84,,,,,,,,,,,,,,,,,
ADIYAMAN,2009,ADIYAMAN,83,,,,,,,,,,,,,,,,,
ADIYAMAN,2008,ADIYAMAN,83,,,,,,,,,,,,,,,,,
ADIYAMAN,2007,ADIYAMAN,82,,,,,,,,,,,,,,,,,
ADIYAMAN,2000,ADIYAMAN,89,,,,,,,,,,,,,,,,,
ADIYAMAN,1990,ADIYAMAN,67,,,,,,,,,,,,,,,,,
ADIYAMAN,1985,ADIYAMAN,57,,,,,,,,,,,,,,,,,
ADIYAMAN,1980,ADIYAMAN,48,,,,,,,,,,,,,,,,,
ADIYAMAN,1975,ADIYAMAN,46,,,,,,,,,,,,,,,,,
ADIYAMAN,1970,ADIYAMAN,39,,,,,,,,,,,,,,,,,
ADIYAMAN,1965,ADIYAMAN,35,,,,,,,,,,,,,,,,,
ADIYAMAN,1960,ADIYAMAN,31,,,,,,,,,,,,,,,,,
ADIYAMAN,1955,ADIYAMAN,28,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2025,AFYONKARAHİSAR,54,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2024,AFYONKARAHİSAR,54,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2023,AFYONKARAHİSAR,52,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2022,AFYONKARAHİSAR,52,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2021,AFYONKARAHİSAR,52,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2020,AFYONKARAHİSAR,51,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2019,AFYONKARAHİSAR,51,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2018,AFYONKARAHİSAR,50,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2017,AFYONKARAHİSAR,50,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2016,AFYONKARAHİSAR,49,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2015,AFYONKARAHİSAR,49,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2014,AFYONKARAHİSAR,49,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2013,AFYONKARAHİSAR,49,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2012,AFYONKARAHİSAR,49,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2011,AFYONKARAHİSAR,48,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2010,AFYONKARAHİSAR,48,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2009,AFYONKARAHİSAR,49,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2008,AFYONKARAHİSAR,48,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2007,AFYONKARAHİSAR,49,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,2000,AFYONKARAHİSAR,57,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1990,AFYONKARAHİSAR,52,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1985,AFYONKARAHİSAR,47,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1980,AFYONKARAHİSAR,42,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1975,AFYONKARAHİSAR,41,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1970,AFYONKARAHİSAR,38,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1965,AFYONKARAHİSAR,35,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1960,AFYONKARAHİSAR,32,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1955,AFYONKARAHİSAR,28,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1950,AFYONKARAHİSAR,27,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1945,AFYONKARAHİSAR,25,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1940,AFYONKARAHİSAR,25,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,1935,AFYONKARAHİSAR,24,,,,,,,,,,,,,,,,,
AĞRI,2025,AĞRI,43,,,,,,,,,,,,,,,,,
AĞRI,2024,AĞRI,44,,,,,,,,,,,,,,,,,
AĞRI,2023,AĞRI,44,,,,,,,,,,,,,,,,,
AĞRI,2022,AĞRI,44,,,,,,,,,,,,,,,,,
AĞRI,2021,AĞRI,45,,,,,,,,,,,,,,,,,
AĞRI,2020,AĞRI,46,,,,,,,,,,,,,,,,,
AĞRI,2019,AĞRI,46,,,,,,,,,,,,,,,,,
AĞRI,2018,AĞRI,47,,,,,,,,,,,,,,,,,
AĞRI,2017,AĞRI,46,,,,,,,,,,,,,,,,,
AĞRI,2016,AĞRI,47,,,,,,,,,,,,,,,,,
AĞRI,2015,AĞRI,47,,,,,,,,,,,,,,,,,
AĞRI,2014,AĞRI,47,,,,,,,,,,,,,,,,,
AĞRI,2013,AĞRI,48,,,,,,,,,,,,,,,,,
AĞRI,2012,AĞRI,48,,,,,,,,,,,,,,,,,
AĞRI,2011,AĞRI,48,,,,,,,,,,,,,,,,,
AĞRI,2010,AĞRI,47,,,,,,,,,,,,,,,,,
AĞRI,2009,AĞRI,46,,,,,,,,,,,,,,,,,
AĞRI,2008,AĞRI,46,,,,,,,,,,,,,,,,,
AĞRI,2007,AĞRI,46,,,,,,,,,,,,,,,,,
AĞRI,2000,AĞRI,46,,,,,,,,,,,,,,,,,
AĞRI,1990,AĞRI,38,,,,,,,,,,,,,,,,,
AĞRI,1985,AĞRI,37,,,,,,,,,,,,,,,,,
AĞRI,1980,AĞRI,32,,,,,,,,,,,,,,,,,
AĞRI,1975,AĞRI,29,,,,,,,,,,,,,,,,,
AĞRI,1970,AĞRI,25,,,,,,,,,,,,,,,,,
AĞRI,1965,AĞRI,22,,,,,,,,,,,,,,,,,
AĞRI,1960,AĞRI,19,,,,,,,,,,,,,,,,,
AĞRI,1955,AĞRI,77,,,,,,,,,,,,,,,,,
AĞRI,1950,AĞRI,12,,,,,,,,,,,,,,,,,
AĞRI,1945,AĞRI,11,,,,,,,,,,,,,,,,,
AĞRI,1940,AĞRI,11,,,,,,,,,,,,,,,,,
AĞRI,1935,AĞRI,8,,,,,,,,,,,,,,,,,
AKSARAY,2025,AKSARAY,61,,,,,,,,,,,,,,,,,
AKSARAY,2024,AKSARAY,60,,,,,,,,,,,,,,,,,
AKSARAY,2023,AKSARAY,57,,,,,,,,,,,,,,,,,
AKSARAY,2022,AKSARAY,57,,,,,,,,,,,,,,,,,
