province,year,Okuma Yazma Bilmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,İlkokul,Ortaokul veya Dengi Meslek Okulu,İlköğretim,Lise veya Dengi Meslek Okulu,Yüksekokul veya Fakülte,Yüksek Lisans ve Üzeri,Bilinmeyen,Toplam
ADANA,2008,153.345,399.323,469.036,84.299,191.137,300.221,93.801,6.210,113.833,1.811.205
ADANA,2013,84.011,419.406,384.986,86.095,362.663,353.256,175.254,12.932,35.860,1.914.463
ADANA,2018,69.416,225.989,482.828,276.736,233.511,410.691,245.469,25.629,12.935,1.983.204
ADANA,2023,58.357,219.571,441.425,384.900,132.788,484.355,310.054,41.429,11.598,2.084.477
ADIYAMAN,2008,70.930,140.760,107.482,16.956,67.115,62.867,13.952,609,31.050,511.721
ADIYAMAN,2013,39.496,129.338,96.615,16.647,120.358,77.191,36.082,1.912,6.592,524.231
ADIYAMAN,2018,33.580,67.705,131.601,80.366,75.623,94.520,57.219,4.760,2.521,547.895
ADIYAMAN,2023,25.987,63.876,114.013,110.586,39.266,114.510,66.693,7.597,1.965,544.493
AFYONKARAHİSAR,2008,48.679,128.258,228.018,26.293,69.829,82.334,23.466,1.820,21.740,630.437
AFYONKARAHİSAR,2013,22.840,122.198,188.581,26.664,127.763,97.988,45.137,3.908,4.196,639.275
AFYONKARAHİSAR,2018,16.772,65.401,204.244,85.020,88.582,118.642,63.534,7.122,4.441,653.758
AFYONKARAHİSAR,2023,13.423,63.591,188.285,127.329,53.341,146.778,83.418,11.864,8.533,696.562
AĞRI,2008,69.662,176.398,57.624,5.175,33.812,27.576,5.404,527,73.870,450.048
AĞRI,2013,39.861,187.443,64.713,7.454,81.466,39.296,18.341,1.113,23.896,463.583
AĞRI,2018,32.604,92.427,119.521,74.920,53.354,49.207,29.596,2.093,4.711,458.433
AĞRI,2023,25.823,77.031,105.131,100.880,23.736,71.577,39.948,4.749,2.098,450.973
