province,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
ADANA,2025,ADANA,1.781.370,884.213,897.157,522.395,296.608,225.787,1.050.235,524.667,525.568,107.848,48.076,59.772,100.892,14.862,86.030,0,0,0
ADANA,2024,ADANA,1.764.893,876.480,888.413,514.008,292.686,221.322,1.049.117,523.837,525.280,102.796,45.576,57.220,98.972,14.381,84.591,0,0,0
ADANA,2023,ADANA,1.743.190,864.808,878.382,503.762,286.689,217.073,1.045.322,521.401,523.921,97.420,42.815,54.605,96.686,13.903,82.783,0,0,0
ADANA,2022,ADANA,1.734.859,860.854,874.005,501.353,285.179,216.174,1.044.296,521.299,522.997,94.040,40.999,53.041,95.170,13.377,81.793,0,0,0
ADANA,2021,ADANA,1.716.907,850.682,866.225,494.687,279.858,214.829,1.040.802,519.678,521.124,88.082,38.145,49.937,93.336,13.001,80.335,0,0,0
ADANA,2020,ADANA,1.694.649,838.522,856.127,489.965,276.020,213.945,1.031.998,514.894,517.104,82.063,35.224,46.839,90.623,12.384,78.239,0,0,0
ADANA,2019,ADANA,1.667.391,825.056,842.335,470.200,266.007,204.193,1.031.391,514.153,517.238,77.795,33.014,44.781,88.005,11.882,76.123,0,0,0
ADANA,2018,ADANA,1.649.850,814.976,834.874,464.701,261.373,203.328,1.025.694,511.252,514.442,73.255,30.856,42.399,86.200,11.495,74.705,0,0,0
ADANA,2017,ADANA,1.647.569,817.422,830.147,467.675,265.746,201.929,1.025.164,511.222,513.942,69.718,29.212,40.506,85.012,11.242,73.770,0,0,0
ADANA,2016,ADANA,1.633.530,810.100,823.430,466.316,264.140,202.176,1.016.447,506.955,509.492,67.337,28.044,39.293,83.430,10.961,72.469,0,0,0
ADANA,2015,ADANA,1.614.122,799.405,814.717,461.749,260.276,201.473,1.005.877,501.766,504.111,64.550,26.624,37.926,81.946,10.739,71.207,0,0,0
ADANA,2014,ADANA,1.593.380,788.309,805.071,457.874,257.171,200.703,994.245,495.843,498.402,60.921,24.924,35.997,80.340,10.371,69.969,0,0,0
ADANA,2013,ADANA,1.576.993,781.207,795.786,455.854,256.556,199.298,984.656,491.233,493.423,57.566,23.368,34.198,78.917,10.050,68.867,0,0,0
ADANA,2012,ADANA,1.557.369,770.198,787.171,453.520,253.293,200.227,971.892,485.068,486.824,54.527,22.054,32.473,77.430,9.783,67.647,0,0,0
ADANA,2011,ADANA,1.539.715,761.202,778.513,453.995,252.807,201.188,958.189,478.104,480.085,51.421,20.603,30.818,76.110,9.688,66.422,0,0,0
ADANA,2010,ADANA,1.516.660,746.945,769.715,451.635,248.451,203.184,942.950,470.138,472.812,47.839,18.980,28.859,74.236,9.376,64.860,0,0,0
ADANA,2009,ADANA,1.493.700,738.086,755.614,451.273,249.915,201.358,925.779,461.607,464.172,44.483,17.429,27.054,72.165,9.135,63.030,0,0,0
ADANA,2008,ADANA,1.461.922,719.630,742.292,446.204,244.400,201.804,903.646,449.931,453.715,41.991,16.478,25.513,70.081,8.821,61.260,0,0,0
ADIYAMAN,2025,ADIYAMAN,456.725,230.370,226.355,140.313,79.558,60.755,283.294,142.067,141.227,11.100,5.017,6.083,22.018,3.728,18.290,0,0,0
ADIYAMAN,2024,ADIYAMAN,448.043,225.845,222.198,136.924,77.845,59.079,279.221,139.814,139.407,10.171,4.490,5.681,21.727,3.696,18.031,0,0,0
ADIYAMAN,2023,ADIYAMAN,440.213,222.292,217.921,134.385,76.780,57.605,274.998,137.699,137.299,9.370,4.088,5.282,21.460,3.725,17.735,0,0,0
ADIYAMAN,2022,ADIYAMAN,457.552,229.221,228.331,139.805,78.970,60.835,287.229,143.105,144.124,9.433,3.980,5.453,21.085,3.166,17.919,0,0,0
ADIYAMAN,2021,ADIYAMAN,452.919,226.780,226.139,139.153,78.552,60.601,284.536,141.600,142.936,8.474,3.475,4.999,20.756,3.153,17.603,0,0,0
ADIYAMAN,2020,ADIYAMAN,450.464,225.480,224.984,140.839,79.136,61.703,281.593,140.164,141.429,7.726,3.118,4.608,20.306,3.062,17.244,0,0,0
ADIYAMAN,2019,ADIYAMAN,443.356,222.314,221.042,136.569,77.001,59.568,279.723,139.386,140.337,7.395,2.990,4.405,19.669,2.937,16.732,0,0,0
ADIYAMAN,2018,ADIYAMAN,440.671,220.618,220.053,136.629,76.591,60.038,277.687,138.387,139.300,6.922,2.750,4.172,19.433,2.890,16.543,0,0,0
