province,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
ADANA,2025,ADANA,"34,5","33,6","35,4",,,,,,,,,,,,,,,
ADANA,2024,ADANA,"34,0","33,2","34,9",,,,,,,,,,,,,,,
ADANA,2023,ADANA,"33,5","32,7","34,4",,,,,,,,,,,,,,,
ADANA,2022,ADANA,"33,0","32,2","33,9",,,,,,,,,,,,,,,
ADANA,2021,ADANA,"32,6","31,9","33,4",,,,,,,,,,,,,,,
ADANA,2020,ADANA,"32,1","31,4","32,8",,,,,,,,,,,,,,,
ADANA,2019,ADANA,"31,9","31,2","32,6",,,,,,,,,,,,,,,
ADANA,2018,ADANA,"31,5","30,9","32,1",,,,,,,,,,,,,,,
ADANA,2017,ADANA,"31,1","30,4","31,7",,,,,,,,,,,,,,,
ADANA,2016,ADANA,"30,7","30,1","31,3",,,,,,,,,,,,,,,
ADANA,2015,ADANA,"30,3","29,8","30,9",,,,,,,,,,,,,,,
ADANA,2014,ADANA,"30,0","29,4","30,5",,,,,,,,,,,,,,,
ADANA,2013,ADANA,"29,6","29,1","30,2",,,,,,,,,,,,,,,
ADANA,2012,ADANA,"29,3","28,8","29,7",,,,,,,,,,,,,,,
ADANA,2011,ADANA,"28,8","28,3","29,3",,,,,,,,,,,,,,,
ADANA,2010,ADANA,"28,3","27,9","28,7",,,,,,,,,,,,,,,
ADANA,2009,ADANA,"27,8","27,4","28,3",,,,,,,,,,,,,,,
ADANA,2008,ADANA,"27,5","27,1","27,9",,,,,,,,,,,,,,,
ADANA,2007,ADANA,"27,4","27,0","27,8",,,,,,,,,,,,,,,
ADANA,2000,ADANA,"23,5","23,0","23,9",,,,,,,,,,,,,,,
ADANA,1990,ADANA,"19,9","19,5","20,4",,,,,,,,,,,,,,,
ADANA,1985,ADANA,"18,9","18,6","19,2",,,,,,,,,,,,,,,
ADIYAMAN,2025,ADIYAMAN,"30,4","30,1","30,7",,,,,,,,,,,,,,,
ADIYAMAN,2024,ADIYAMAN,"29,9","29,5","30,3",,,,,,,,,,,,,,,
ADIYAMAN,2023,ADIYAMAN,"29,4","29,0","29,8",,,,,,,,,,,,,,,
ADIYAMAN,2022,ADIYAMAN,"28,7","28,3","29,2",,,,,,,,,,,,,,,
ADIYAMAN,2021,ADIYAMAN,"28,2","27,8","28,7",,,,,,,,,,,,,,,
ADIYAMAN,2020,ADIYAMAN,"27,7","27,3","28,1",,,,,,,,,,,,,,,
ADIYAMAN,2019,ADIYAMAN,"27,4","27,0","27,8",,,,,,,,,,,,,,,
ADIYAMAN,2018,ADIYAMAN,"27,0","26,6","27,4",,,,,,,,,,,,,,,
ADIYAMAN,2017,ADIYAMAN,"26,6","26,2","27,0",,,,,,,,,,,,,,,
ADIYAMAN,2016,ADIYAMAN,"26,2","25,8","26,6",,,,,,,,,,,,,,,
ADIYAMAN,2015,ADIYAMAN,"25,8","25,4","26,3",,,,,,,,,,,,,,,
ADIYAMAN,2014,ADIYAMAN,"25,5","25,1","25,9",,,,,,,,,,,,,,,
ADIYAMAN,2013,ADIYAMAN,"25,1","24,7","25,6",,,,,,,,,,,,,,,
ADIYAMAN,2012,ADIYAMAN,"24,7","24,3","25,1",,,,,,,,,,,,,,,
ADIYAMAN,2011,ADIYAMAN,"24,3","23,9","24,7",,,,,,,,,,,,,,,
ADIYAMAN,2010,ADIYAMAN,"23,9","23,5","24,3",,,,,,,,,,,,,,,
ADIYAMAN,2009,ADIYAMAN,"23,4","23,0","23,9",,,,,,,,,,,,,,,
ADIYAMAN,2008,ADIYAMAN,"23,2","22,6","23,7",,,,,,,,,,,,,,,
ADIYAMAN,2007,ADIYAMAN,"22,9","22,3","23,5",,,,,,,,,,,,,,,
ADIYAMAN,2000,ADIYAMAN,"19,2","18,5","19,8",,,,,,,,,,,,,,,
ADIYAMAN,1990,ADIYAMAN,"16,4","15,6","17,1",,,,,,,,,,,,,,,
ADIYAMAN,1985,ADIYAMAN,"15,4","14,7","16,2",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2025,AFYONKARAHİSAR,"36,4","35,6","37,3",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2024,AFYONKARAHİSAR,"36,0","35,2","36,8",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2023,AFYONKARAHİSAR,"35,5","34,7","36,3",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2022,AFYONKARAHİSAR,"34,9","34,1","35,7",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2021,AFYONKARAHİSAR,"34,4","33,7","35,2",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2020,AFYONKARAHİSAR,"34,1","33,3","34,9",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2019,AFYONKARAHİSAR,"33,7","33,1","34,5",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2018,AFYONKARAHİSAR,"33,5","32,8","34,1",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2017,AFYONKARAHİSAR,"33,0","32,4","33,7",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2016,AFYONKARAHİSAR,"32,6","31,9","33,3",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2015,AFYONKARAHİSAR,"32,3","31,6","33,0",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2014,AFYONKARAHİSAR,"31,9","31,3","32,6",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2013,AFYONKARAHİSAR,"31,5","30,8","32,2",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2012,AFYONKARAHİSAR,"31,2","30,5","31,8",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2011,AFYONKARAHİSAR,"30,9","30,2","31,7",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2010,AFYONKARAHİSAR,"30,5","29,9","31,0",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2009,AFYONKARAHİSAR,"29,7","29,1","30,5",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2008,AFYONKARAHİSAR,"29,5","28,8","30,2",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2007,AFYONKARAHİSAR,"29,0","28,2","29,8",,,,,,,,,,,,,,,
AFYONKARAHİSAR,2000,AFYONKARAHİSAR,"25,1","24,8","25,6",,,,,,,,,,,,,,,
AFYONKARAHİSAR,1990,AFYONKARAHİSAR,"22,3","21,9","22,6",,,,,,,,,,,,,,,
AFYONKARAHİSAR,1985,AFYONKARAHİSAR,"20,9","20,4","21,4",,,,,,,,,,,,,,,
AĞRI,2025,AĞRI,"25,1","25,2","25,0",,,,,,,,,,,,,,,
AĞRI,2024,AĞRI,"24,5","24,6","24,4",,,,,,,,,,,,,,,
AĞRI,2023,AĞRI,"24,0","24,2","23,8",,,,,,,,,,,,,,,
AĞRI,2022,AĞRI,"23,3","23,5","23,2",,,,,,,,,,,,,,,
AĞRI,2021,AĞRI,"22,8","23,0","22,6",,,,,,,,,,,,,,,
AĞRI,2020,AĞRI,"22,3","22,4","22,0",,,,,,,,,,,,,,,
AĞRI,2019,AĞRI,"21,8","22,0","21,6",,,,,,,,,,,,,,,
AĞRI,2018,AĞRI,"21,4","21,6","21,1",,,,,,,,,,,,,,,
AĞRI,2017,AĞRI,"20,9","21,1","20,7",,,,,,,,,,,,,,,
AĞRI,2016,AĞRI,"20,5","20,7","20,3",,,,,,,,,,,,,,,
AĞRI,2015,AĞRI,"20,3","20,5","20,1",,,,,,,,,,,,,,,
AĞRI,2014,AĞRI,"20,0","20,3","19,8",,,,,,,,,,,,,,,
AĞRI,2013,AĞRI,"19,7","19,9","19,5",,,,,,,,,,,,,,,
AĞRI,2012,AĞRI,"19,5","19,7","19,3",,,,,,,,,,,,,,,
AĞRI,2011,AĞRI,"19,5","19,8","19,2",,,,,,,,,,,,,,,
AĞRI,2010,AĞRI,"19,0","19,0","18,9",,,,,,,,,,,,,,,
AĞRI,2009,AĞRI,"18,9","19,1","18,7",,,,,,,,,,,,,,,
AĞRI,2008,AĞRI,"18,8","19,0","18,7",,,,,,,,,,,,,,,
AĞRI,2007,AĞRI,"18,8","18,9","18,8",,,,,,,,,,,,,,,
AĞRI,2000,AĞRI,"16,6","16,3","16,9",,,,,,,,,,,,,,,
AĞRI,1990,AĞRI,"14,6","14,1","15,2",,,,,,,,,,,,,,,
AĞRI,1985,AĞRI,"14,4","14,1","14,7",,,,,,,,,,,,,,,
AKSARAY,2025,AKSARAY,"33,6","33,1","34,1",,,,,,,,,,,,,,,
AKSARAY,2024,AKSARAY,"33,1","32,5","33,6",,,,,,,,,,,,,,,
AKSARAY,2023,AKSARAY,"32,5","32,0","33,1",,,,,,,,,,,,,,,
AKSARAY,2022,AKSARAY,"31,8","31,3","32,5",,,,,,,,,,,,,,,
AKSARAY,2021,AKSARAY,"31,4","30,9","32,0",,,,,,,,,,,,,,,
AKSARAY,2020,AKSARAY,"31,1","30,6","31,7",,,,,,,,,,,,,,,
AKSARAY,2019,AKSARAY,"30,7","30,0","31,4",,,,,,,,,,,,,,,
AKSARAY,2018,AKSARAY,"30,4","29,8","31,0",,,,,,,,,,,,,,,
AKSARAY,2017,AKSARAY,"30,0","29,3","30,7",,,,,,,,,,,,,,,
AKSARAY,2016,AKSARAY,"29,7","29,0","30,4",,,,,,,,,,,,,,,
AKSARAY,2015,AKSARAY,"29,6","28,8","30,4",,,,,,,,,,,,,,,
AKSARAY,2014,AKSARAY,"29,2","28,4","29,9",,,,,,,,,,,,,,,
AKSARAY,2013,AKSARAY,"28,7","28,0","29,5",,,,,,,,,,,,,,,
AKSARAY,2012,AKSARAY,"28,3","27,6","29,2",,,,,,,,,,,,,,,
AKSARAY,2011,AKSARAY,"28,0","27,4","28,8",,,,,,,,,,,,,,,
