province,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
ADANA,2025,ADANA,2.283.609,1.141.614,1.141.995,,,,,,,,,,,,,,,
ADANA,2024,ADANA,2.280.484,1.140.836,1.139.648,,,,,,,,,,,,,,,
ADANA,2023,ADANA,2.270.298,1.135.046,1.135.252,,,,,,,,,,,,,,,
ADANA,2022,ADANA,2.274.106,1.137.455,1.136.651,,,,,,,,,,,,,,,
ADANA,2021,ADANA,2.263.373,1.130.862,1.132.511,,,,,,,,,,,,,,,
ADANA,2020,ADANA,2.258.718,1.127.516,1.131.202,,,,,,,,,,,,,,,
ADANA,2019,ADANA,2.237.940,1.117.032,1.120.908,,,,,,,,,,,,,,,
ADANA,2018,ADANA,2.220.125,1.106.811,1.113.314,,,,,,,,,,,,,,,
ADANA,2017,ADANA,2.216.475,1.108.939,1.107.536,,,,,,,,,,,,,,,
ADANA,2016,ADANA,2.201.670,1.101.340,1.100.330,,,,,,,,,,,,,,,
ADANA,2015,ADANA,2.183.167,1.091.159,1.092.008,,,,,,,,,,,,,,,
ADANA,2014,ADANA,2.165.595,1.082.497,1.083.098,,,,,,,,,,,,,,,
ADANA,2013,ADANA,2.149.260,1.074.778,1.074.482,,,,,,,,,,,,,,,
ADANA,2012,ADANA,2.125.635,1.061.264,1.064.371,,,,,,,,,,,,,,,
ADANA,2011,ADANA,2.108.805,1.052.873,1.055.932,,,,,,,,,,,,,,,
ADANA,2010,ADANA,2.085.225,1.038.575,1.046.650,,,,,,,,,,,,,,,
ADANA,2009,ADANA,2.062.226,1.029.640,1.032.586,,,,,,,,,,,,,,,
ADANA,2008,ADANA,2.026.319,1.009.001,1.017.318,,,,,,,,,,,,,,,
ADANA,2007,ADANA,2.006.650,994.864,1.011.786,,,,,,,,,,,,,,,
ADANA,2000,ADANA,1.849.478,920.001,929.477,,,,,,,,,,,,,,,
ADANA,1990,ADANA,1.934.907,973.878,961.029,,,,,,,,,,,,,,,
