year,gdp_growth,inflation,unemployment
1998,1.91,84.6,6.89
1999,-3.05,64.9,7.69
2000,6.99,54.9,6.5
2001,-5.46,54.4,8.38
2002,6.44,45.0,10.36
2003,5.8,21.6,10.54
2004,9.93,8.6,10.84
2005,9.11,8.2,10.64
2006,7.07,9.6,10.23
2007,5.11,8.8,10.29
2008,0.92,10.4,10.96
2009,-4.88,6.3,14.03
2010,8.54,8.6,11.88
2011,10.98,6.5,9.79
2012,4.81,8.9,9.21
2013,8.49,7.5,9.71
2014,4.6,8.9,9.9
2015,5.81,7.7,10.3
2016,3.32,7.8,10.9
2017,7.83,11.1,10.92
2018,3.47,16.3,10.96
2019,1.3,15.2,13.73
2020,1.8,12.3,13.15
2021,11.81,19.6,11.97
2022,5.44,72.3,10.46
2023,5.05,53.9,9.39
2024,3.33,58.5,8.8
2025,3.6,34.9,8.52
