year,province,party,votes,seats
2015,Adana,akp,382219,5
2015,Adana,chp,359280,4
2015,Adana,mhp,290428,3
2015,Adana,dem,183491,2
2015,Adana,sp,19362,0
2015,Adana,other,1309,0
2015,Adana,dsp,1941,0
2015,Adana,dp,1549,0
2015,Adıyaman,akp,181918,4
2015,Adıyaman,dem,70979,1
2015,Adıyaman,chp,36003,0
2015,Adıyaman,mhp,13601,0
2015,Adıyaman,sp,6119,0
2015,Afyonkarahisar,akp,227360,3
2015,Afyonkarahisar,mhp,109083,1
2015,Afyonkarahisar,chp,72821,1
2015,Afyonkarahisar,sp,9419,0
2015,Afyonkarahisar,dem,6437,0
2015,Afyonkarahisar,dp,2192,0
2015,Afyonkarahisar,dsp,1307,0
2015,Afyonkarahisar,other,1129,0
2015,Ağrı,dem,186617,4
2015,Ağrı,akp,40353,0
2015,Ağrı,mhp,6593,0
2015,Ağrı,chp,3283,0
2015,Ağrı,other,1994,0
2015,Ağrı,sp,1398,0
2015,Aksaray,akp,122256,2
2015,Aksaray,mhp,62609,1
2015,Aksaray,chp,14520,0
2015,Aksaray,dem,4447,0
2015,Aksaray,sp,2765,0
2015,Amasya,akp,98331,2
2015,Amasya,chp,55767,1
2015,Amasya,mhp,48485,0
2015,Amasya,sp,4768,0
2015,Amasya,dem,3447,0
2015,Ankara,akp,1357423,15
2015,Ankara,chp,956295,11
2015,Ankara,mhp,584267,5
2015,Ankara,dem,182664,1
2015,Ankara,other,2403,0
2015,Ankara,sp,60887,0
2015,Ankara,dsp,5044,0
2015,Ankara,dp,2883,0
2015,Antalya,akp,471695,5
2015,Antalya,chp,434272,5
2015,Antalya,mhp,289954,3
2015,Antalya,dem,96765,1
2015,Antalya,sp,17557,0
2015,Antalya,other,1541,0
2015,Antalya,dp,2706,0
2015,Antalya,dsp,2261,0
2015,Ardahan,dem,17360,1
2015,Ardahan,akp,15407,1
2015,Ardahan,chp,12718,0
2015,Ardahan,other,4680,0
2015,Ardahan,mhp,4513,0
2015,Artvin,akp,43228,1
2015,Artvin,chp,33958,1
2015,Artvin,mhp,25051,0
2015,Artvin,dem,3450,0
2015,Artvin,sp,1901,0
2015,Aydın,chp,270015,4
2015,Aydın,akp,200275,2
2015,Aydın,mhp,120947,1
2015,Aydın,dem,61340,0
2015,Aydın,sp,7340,0
2015,Aydın,other,4486,0
2015,Aydın,dp,1870,0
2015,Aydın,dsp,1193,0
2015,Balıkesir,akp,314656,3
2015,Balıkesir,chp,270804,3
2015,Balıkesir,mhp,160955,2
2015,Balıkesir,dem,27804,0
2015,Balıkesir,sp,14608,0
2015,Balıkesir,other,1439,0
2015,Balıkesir,dp,2599,0
2015,Balıkesir,dsp,1945,0
2015,Bartın,akp,50978,1
2015,Bartın,chp,37002,1
2015,Bartın,mhp,22038,0
2015,Bartın,sp,5721,0
2015,Bartın,dem,2044,0
2015,Batman,dem,192545,3
2015,Batman,akp,50957,1
2015,Batman,other,14550,0
2015,Batman,mhp,3315,0
2015,Batman,chp,3131,0
2015,Batman,sp,2635,0
2015,Bayburt,akp,27739,1
2015,Bayburt,mhp,14558,1
2015,Bayburt,sp,1322,0
2015,Bayburt,chp,1290,0
2015,Bilecik,akp,50690,1
