year,province,party,votes,seats
2015b,Adana,akp,481851,6
2015b,Adana,chp,379690,4
2015b,Adana,mhp,248655,3
2015b,Adana,dem,153880,1
2015b,Adana,sp,8175,0
2015b,Adana,bbp,5028,0
2015b,Adana,other,2106,0
2015b,Adana,dp,1459,0
2015b,Adıyaman,akp,227154,4
2015b,Adıyaman,dem,47038,1
2015b,Adıyaman,chp,37434,0
2015b,Adıyaman,mhp,10107,0
2015b,Adıyaman,sp,2107,0
2015b,Adıyaman,bbp,1865,0
2015b,Afyonkarahisar,akp,280499,3
2015b,Afyonkarahisar,mhp,74267,1
2015b,Afyonkarahisar,chp,72110,1
2015b,Afyonkarahisar,dem,4543,0
2015b,Afyonkarahisar,sp,3472,0
2015b,Afyonkarahisar,bbp,3107,0
2015b,Afyonkarahisar,dp,1707,0
2015b,Ağrı,dem,146763,3
2015b,Ağrı,akp,61098,1
2015b,Ağrı,chp,3758,0
2015b,Ağrı,mhp,3696,0
2015b,Ağrı,bbp,1229,0
2015b,Aksaray,akp,154704,3
2015b,Aksaray,mhp,38672,0
2015b,Aksaray,chp,16548,0
2015b,Aksaray,dem,2712,0
2015b,Aksaray,bbp,1291,0
2015b,Amasya,akp,112788,2
2015b,Amasya,chp,53092,1
2015b,Amasya,mhp,44097,0
2015b,Amasya,dem,2733,0
2015b,Amasya,bbp,1413,0
2015b,Amasya,sp,1340,0
2015b,Ankara,akp,1670464,16
2015b,Ankara,chp,1037533,11
2015b,Ankara,mhp,477625,4
2015b,Ankara,dem,151116,1
2015b,Ankara,bbp,24501,0
2015b,Ankara,sp,14614,0
2015b,Ankara,other,3342,0
2015b,Ankara,dp,2569,0
2015b,Ankara,dsp,1369,0
2015b,Antalya,akp,581391,7
2015b,Antalya,chp,458023,5
2015b,Antalya,mhp,241490,2
2015b,Antalya,dem,82179,0
2015b,Antalya,sp,6469,0
2015b,Antalya,bbp,6469,0
2015b,Antalya,other,2499,0
2015b,Antalya,dp,2694,0
2015b,Ardahan,akp,20763,1
2015b,Ardahan,chp,16097,1
2015b,Ardahan,dem,12387,0
2015b,Ardahan,mhp,4965,0
2015b,Artvin,akp,49781,1
2015b,Artvin,chp,38153,1
2015b,Artvin,mhp,14582,0
2015b,Artvin,dem,2720,0
2015b,Aydın,chp,275558,3
2015b,Aydın,akp,236387,3
2015b,Aydın,mhp,106562,1
2015b,Aydın,dem,50108,0
2015b,Aydın,bbp,3255,0
2015b,Aydın,other,1242,0
2015b,Aydın,sp,2367,0
2015b,Aydın,dp,1761,0
2015b,Balıkesir,akp,374153,4
2015b,Balıkesir,chp,278829,3
2015b,Balıkesir,mhp,119116,1
2015b,Balıkesir,dem,22374,0
2015b,Balıkesir,sp,6898,0
2015b,Balıkesir,bbp,3694,0
2015b,Balıkesir,other,1958,0
2015b,Balıkesir,dp,2877,0
2015b,Bartın,akp,65827,1
2015b,Bartın,chp,36752,1
2015b,Bartın,mhp,12754,0
2015b,Bartın,sp,2407,0
2015b,Bartın,dem,1602,0
2015b,Batman,dem,178435,3
2015b,Batman,akp,77809,1
2015b,Batman,chp,4279,0
2015b,Batman,mhp,2166,0
2015b,Batman,sp,1473,0
2015b,Batman,bbp,1067,0
2015b,Bayburt,akp,33422,2
2015b,Bayburt,mhp,9471,0
2015b,Bayburt,chp,1117,0
2015b,Bilecik,akp,63394,1
2015b,Bilecik,chp,45392,1
2015b,Bilecik,mhp,18857,0
2015b,Bilecik,dem,3884,0
2015b,Bilecik,sp,1234,0
2015b,Bilecik,bbp,1017,0
2015b,Bingöl,akp,85498,2
2015b,Bingöl,dem,38714,1
2015b,Bingöl,mhp,2527,0
2015b,Bingöl,chp,2454,0
2015b,Bingöl,bbp,1096,0
2015b,Bitlis,dem,74536,2
2015b,Bitlis,akp,67686,1
2015b,Bitlis,chp,4788,0
2015b,Bitlis,mhp,3196,0
2015b,Bolu,akp,120431,2
2015b,Bolu,chp,41155,1
2015b,Bolu,mhp,20720,0
2015b,Bolu,dem,2984,0
2015b,Bolu,sp,2151,0
2015b,Bolu,bbp,1446,0
2015b,Burdur,akp,87315,2
2015b,Burdur,chp,42635,1
2015b,Burdur,mhp,33352,0
2015b,Burdur,dem,2080,0
2015b,Burdur,sp,1929,0
2015b,Burdur,bbp,1181,0
2015b,Bursa,akp,1003822,11
2015b,Bursa,chp,490316,5
2015b,Bursa,mhp,227426,2
2015b,Bursa,dem,83684,0
2015b,Bursa,sp,18896,0
2015b,Bursa,bbp,9953,0
2015b,Bursa,other,3034,0
2015b,Bursa,dp,3694,0
2015b,Bursa,dsp,1527,0
2015b,Çanakkale,akp,140903,2
2015b,Çanakkale,chp,136503,2
2015b,Çanakkale,mhp,53879,0
2015b,Çanakkale,dem,8804,0
2015b,Çanakkale,other,1528,0
2015b,Çanakkale,sp,1507,0
2015b,Çanakkale,bbp,1478,0
2015b,Çanakkale,dp,1306,0
2015b,Çankırı,akp,77511,2
2015b,Çankırı,mhp,23997,0
2015b,Çankırı,chp,6966,0
2015b,Çankırı,dem,1010,0
2015b,Çorum,akp,212382,3
2015b,Çorum,chp,76112,1
2015b,Çorum,mhp,42396,0
2015b,Çorum,dem,6786,0
2015b,Çorum,bbp,2772,0
2015b,Çorum,sp,1990,0
2015b,Denizli,akp,298947,4
2015b,Denizli,chp,221031,2
2015b,Denizli,mhp,94881,1
2015b,Denizli,dem,20111,0
2015b,Denizli,bbp,4718,0
2015b,Denizli,sp,2538,0
2015b,Denizli,other,1103,0
2015b,Denizli,dp,1699,0
2015b,Diyarbakır,dem,580294,9
2015b,Diyarbakır,akp,181456,2
2015b,Diyarbakır,chp,15921,0
2015b,Diyarbakır,other,2119,0
2015b,Diyarbakır,mhp,6520,0
2015b,Diyarbakır,bbp,2777,0
2015b,Diyarbakır,sp,2200,0
2015b,Düzce,akp,163422,3
2015b,Düzce,chp,38028,0
2015b,Düzce,mhp,19454,0
2015b,Düzce,dem,3662,0
2015b,Düzce,sp,2591,0
2015b,Düzce,bbp,1471,0
2015b,Edirne,chp,150465,2
2015b,Edirne,akp,74713,1
2015b,Edirne,mhp,28482,0
2015b,Edirne,dem,6721,0
2015b,Edirne,sp,2010,0
2015b,Edirne,other,1318,0
2015b,Elazığ,akp,224583,4
2015b,Elazığ,mhp,44845,0
2015b,Elazığ,dem,37693,0
2015b,Elazığ,chp,21256,0
2015b,Elazığ,sp,3888,0
2015b,Elazığ,bbp,1875,0
2015b,Erzincan,akp,76989,2
2015b,Erzincan,chp,37338,0
2015b,Erzincan,mhp,13632,0
2015b,Erzincan,dem,4736,0
2015b,Erzurum,akp,281706,5
2015b,Erzurum,mhp,58794,1
2015b,Erzurum,dem,51205,0
2015b,Erzurum,chp,13898,0
2015b,Erzurum,sp,3292,0
2015b,Erzurum,bbp,2863,0
2015b,Erzurum,other,1217,0
2015b,Eskişehir,akp,241037,3
2015b,Eskişehir,chp,211142,3
2015b,Eskişehir,mhp,69748,0
2015b,Eskişehir,dem,16580,0
2015b,Eskişehir,bbp,4242,0
2015b,Eskişehir,sp,3571,0
2015b,Eskişehir,other,1662,0
2015b,Eskişehir,dp,1305,0
2015b,Gaziantep,akp,595708,8
2015b,Gaziantep,chp,157344,2
2015b,Gaziantep,dem,103249,1
2015b,Gaziantep,mhp,91997,1
2015b,Gaziantep,sp,5982,0
2015b,Gaziantep,bbp,5122,0
2015b,Gaziantep,other,1220,0
2015b,Giresun,akp,169420,3
2015b,Giresun,chp,54744,1
2015b,Giresun,mhp,38839,0
2015b,Giresun,dem,2834,0
2015b,Giresun,sp,2318,0
2015b,Giresun,bbp,1758,0
2015b,Gümüşhane,akp,51591,2
2015b,Gümüşhane,mhp,17197,0
2015b,Gümüşhane,chp,3861,0
2015b,Hakkâri,dem,114906,3
2015b,Hakkâri,akp,19334,0
2015b,Hakkâri,chp,2276,0
2015b,Hakkâri,mhp,2233,0
2015b,Hatay,akp,381165,5
2015b,Hatay,chp,311664,4
2015b,Hatay,mhp,106563,1
2015b,Hatay,dem,61814,0
2015b,Hatay,sp,3925,0
2015b,Hatay,bbp,3067,0
2015b,Hatay,other,1486,0
2015b,Iğdır,dem,49442,1
2015b,Iğdır,akp,30260,1
2015b,Iğdır,mhp,11973,0
2015b,Iğdır,chp,2042,0
2015b,Isparta,akp,142770,2
2015b,Isparta,chp,56926,1
2015b,Isparta,mhp,53810,1
2015b,Isparta,dem,4291,0
2015b,Isparta,sp,2699,0
2015b,Isparta,bbp,2098,0
2015b,Isparta,dp,1562,0
2015b,İstanbul,akp,4521325,46
2015b,İstanbul,chp,2777219,28
2015b,İstanbul,dem,949951,7
2015b,İstanbul,mhp,790248,7
2015b,İstanbul,sp,69177,0
2015b,İstanbul,bbp,36615,0
2015b,İstanbul,other,2509,0
2015b,İstanbul,dsp,5170,0
2015b,İstanbul,dp,5002,0
2015b,İzmir,chp,1276794,14
2015b,İzmir,akp,881050,8
2015b,İzmir,mhp,312382,2
2015b,İzmir,dem,247239,2
2015b,İzmir,other,3722,0
2015b,İzmir,bbp,10412,0
2015b,İzmir,sp,10232,0
2015b,İzmir,dp,4282,0
2015b,İzmir,dsp,2516,0
2015b,Kahramanmaraş,akp,441137,7
2015b,Kahramanmaraş,mhp,78929,1
2015b,Kahramanmaraş,chp,60034,0
2015b,Kahramanmaraş,dem,23475,0
2015b,Kahramanmaraş,bbp,5298,0
2015b,Kahramanmaraş,sp,3923,0
2015b,Kahramanmaraş,other,1372,0
2015b,Karabük,akp,89225,2
2015b,Karabük,mhp,28679,0
2015b,Karabük,chp,22562,0
2015b,Karabük,sp,1822,0
2015b,Karabük,dem,1653,0
2015b,Karaman,akp,96587,2
2015b,Karaman,mhp,23979,0
